#scaffold	subcluster_id	asmbl_acc	cdna_accs	alignment_description
NC_001133.9	1	asmbl_1	Unigene6807_YT,Unigene6807_YT	orient(a-/s?) align: 3481(624)-4104(1)
NC_001133.9	2	asmbl_2	Unigene6806_YT,Unigene6806_YT	orient(a-/s?) align: 4365(1981)-6345(1)
NC_001133.9	3	asmbl_3	Unigene6805_YT,Unigene6805_YT	orient(a+/s?) align: 6764(1)-7003(240)
NC_001133.9	4	asmbl_4	Unigene6804_YT,Unigene6804_YT,Unigene6803_YT,Unigene6803_YT	orient(a+/s?) align: 7016(1)-9856(2841)
NC_001133.9	5	asmbl_5	Unigene6802_YT,Unigene6802_YT	orient(a+/s?) align: 9859(1)-10041(183)
NC_001133.9	6	asmbl_6	Unigene6801_YT,Unigene6801_YT	orient(a-/s?) align: 10899(294)-11192(1)
NC_001133.9	7	asmbl_7	Unigene6691_YT,Unigene6692_YT,Unigene6691_YT,Unigene6692_YT	orient(a+/s?) align: 28399(1)-29035(637)
NC_001133.9	8	asmbl_8	Unigene6694_YT,Unigene6694_YT	orient(a+/s?) align: 30118(1)-30534(417)
NC_001133.9	9	asmbl_9	Unigene6695_YT,Unigene6695_YT	orient(a-/s?) align: 31207(245)-31451(1)
NC_001133.9	10	asmbl_10	Unigene6696_YT,Unigene6696_YT	orient(a-/s?) align: 31439(1530)-32968(1)
NC_001133.9	11	asmbl_11	Unigene6697_YT,Unigene6697_YT	orient(a-/s?) align: 33070(574)-33643(1)
NC_001133.9	12	asmbl_12	Unigene6698_YT,Unigene6699_YT,Unigene6698_YT,Unigene6699_YT	orient(a+/s?) align: 33616(1)-34365(750)
NC_001133.9	13	asmbl_13	Unigene6700_YT,Unigene6700_YT	orient(a-/s?) align: 34734(378)-35111(1)
NC_001133.9	14	asmbl_14	Unigene6701_YT,Unigene6701_YT	orient(a+/s?) align: 35103(1)-36415(1313)
NC_001133.9	15	asmbl_15	Unigene6702_YT,Unigene6702_YT	orient(a+/s?) align: 36507(1)-37339(833)
NC_001133.9	16	asmbl_16	Unigene6703_YT,Unigene6703_YT	orient(a+/s?) align: 37395(1)-38972(1578)
NC_001133.9	17	asmbl_17	Unigene6704_YT,Unigene6704_YT	orient(a+/s?) align: 42169(1)-42809(641)
NC_001133.9	18	asmbl_18	Unigene6705_YT,Unigene6706_YT,Unigene6705_YT,Unigene6706_YT	orient(a+/s?) align: 42736(1)-45582(2847)
NC_001133.9	19	asmbl_19	Unigene6707_YT,Unigene6707_YT	orient(a+/s?) align: 45709(1)-48301(2593)
NC_001133.9	20	asmbl_20	Unigene6708_YT,Unigene6708_YT	orient(a+/s?) align: 48444(1)-51843(3400)
NC_001133.9	21	asmbl_21	Unigene6709_YT,Unigene6709_YT	orient(a-/s?) align: 51717(879)-52595(1)
NC_001133.9	22	asmbl_22	Unigene6710_YT,Unigene6710_YT	orient(a+/s?) align: 54181(1)-54503(323)
NC_001133.9	23	asmbl_23	Unigene6711_YT,Unigene6712_YT,Unigene6711_YT,Unigene6712_YT	orient(a+/s?) align: 54932(1)-56970(2039)
NC_001133.9	24	asmbl_24	Unigene6713_YT,Unigene6714_YT,Unigene6713_YT,Unigene6714_YT	orient(a+/s?) align: 56906(1)-57947(1042)
NC_001133.9	25	asmbl_25	Unigene6715_YT,Unigene6715_YT	orient(a+/s?) align: 61274(1)-62797(1524)
NC_001133.9	26	asmbl_26	Unigene6716_YT,Unigene6716_YT	orient(a+/s?) align: 62776(1)-65636(2861)
NC_001133.9	27	asmbl_27	Unigene6717_YT,Unigene6718_YT,Unigene6717_YT,Unigene6718_YT	orient(a+/s?) align: 65509(1)-67963(2455)
NC_001133.9	28	asmbl_28	Unigene6719_YT,Unigene6720_YT,Unigene6721_YT,Unigene6719_YT,Unigene6720_YT,Unigene6721_YT	orient(a+/s?) align: 68169(1)-69762(1594)
NC_001133.9	29	asmbl_29	Unigene6722_YT,Unigene6723_YT,Unigene6722_YT,Unigene6723_YT	orient(a+/s?) align: 69847(1)-70328(482)
NC_001133.9	30	asmbl_30	Unigene6725_YT,Unigene6725_YT	orient(a-/s?) align: 71183(319)-71501(1)
NC_001133.9	31	asmbl_31	Unigene6726_YT,Unigene6726_YT	orient(a+/s?) align: 71714(1)-73454(1741)
NC_001133.9	32	asmbl_32	Unigene6727_YT,Unigene6727_YT	orient(a+/s?) align: 73467(1)-73822(356)
NC_001133.9	33	asmbl_33	Unigene6728_YT,Unigene6729_YT,Unigene6730_YT,Unigene6728_YT,Unigene6729_YT,Unigene6730_YT	orient(a-/s?) align: 73751(2468)-76218(1)
NC_001133.9	34	asmbl_34	Unigene6731_YT,Unigene6731_YT	orient(a+/s?) align: 76374(1)-79435(3062)
NC_001133.9	35	asmbl_35	Unigene6732_YT,Unigene6732_YT	orient(a-/s?) align: 80575(2112)-82686(1)
NC_001133.9	36	asmbl_36	Unigene6733_YT,Unigene6733_YT	orient(a+/s?) align: 82688(1)-83342(655)
NC_001133.9	37	asmbl_37	Unigene6734_YT,Unigene6734_YT	orient(a-/s?) align: 83243(1232)-84474(1)
NC_001133.9	38	asmbl_38	Unigene6735_YT,Unigene6735_YT	orient(a+/s?) align: 86022(1)-86221(200)
NC_001133.9	39	asmbl_39	Unigene6736_YT,Unigene6736_YT	orient(a-/s?) align: 87045(231)-87275(1)
NC_001133.9	40	asmbl_40	Unigene6737_YT,Unigene6738_YT,Unigene6739_YT,Unigene6737_YT,Unigene6738_YT,Unigene6739_YT	orient(a+/s?) align: 87250(1)-92663(5414)
NC_001133.9	41	asmbl_41	Unigene6740_YT,Unigene6740_YT	orient(a+/s?) align: 92683(1)-94581(1899)
NC_001133.9	42	asmbl_42	Unigene6741_YT,Unigene6741_YT	orient(a+/s?) align: 94595(1)-95522(928)
NC_001133.9	43	asmbl_43	Unigene6742_YT,Unigene6742_YT	orient(a-/s?) align: 95489(4302)-99790(1)
NC_001133.9	44	asmbl_44	Unigene6743_YT,Unigene6743_YT	orient(a-/s?) align: 100047(1124)-101170(1)
NC_001133.9	45	asmbl_45	Unigene6744_YT,Unigene6744_YT	orient(a-/s?) align: 101384(4626)-106009(1)
NC_001133.9	46	asmbl_46	Unigene6745_YT,Unigene6745_YT	orient(a-/s?) align: 106132(2565)-108696(1)
NC_001133.9	47	asmbl_47	Unigene6746_YT,Unigene6746_YT	orient(a-/s?) align: 108787(1644)-110430(1)
